filename,relative_path,device_tag,activity,start_time,output_rate,output_rate_hz,row_count,expected_sample_time_step_for_rate,missing_packet_count,missing_packet_preview,duplicate_packet_count,duplicate_packet_preview,abnormal_time_gap_count,abnormal_time_gap_indices,non_finite_fraction,dead_channels,acc_mag_mean,acc_mag_std,gyr_mag_mean,gyr_mag_std,quat_norm_mean,quat_norm_std,quat_norm_max_deviation_from_1,Acc_X_mean,Acc_X_std,Acc_X_min,Acc_X_max,Acc_X_max_abs_jump,Acc_X_extreme_jump_count,Acc_X_extreme_jump_threshold,Acc_Y_mean,Acc_Y_std,Acc_Y_min,Acc_Y_max,Acc_Y_max_abs_jump,Acc_Y_extreme_jump_count,Acc_Y_extreme_jump_threshold,Acc_Z_mean,Acc_Z_std,Acc_Z_min,Acc_Z_max,Acc_Z_max_abs_jump,Acc_Z_extreme_jump_count,Acc_Z_extreme_jump_threshold,Gyr_X_mean,Gyr_X_std,Gyr_X_min,Gyr_X_max,Gyr_X_max_abs_jump,Gyr_X_extreme_jump_count,Gyr_X_extreme_jump_threshold,Gyr_Y_mean,Gyr_Y_std,Gyr_Y_min,Gyr_Y_max,Gyr_Y_max_abs_jump,Gyr_Y_extreme_jump_count,Gyr_Y_extreme_jump_threshold,Gyr_Z_mean,Gyr_Z_std,Gyr_Z_min,Gyr_Z_max,Gyr_Z_max_abs_jump,Gyr_Z_extreme_jump_count,Gyr_Z_extreme_jump_threshold,total_extreme_jump_count,plot_path,Gyr_X_bias_standing,Gyr_X_rms_standing,Gyr_X_linear_drift_standing,Gyr_Y_bias_standing,Gyr_Y_rms_standing,Gyr_Y_linear_drift_standing,Gyr_Z_bias_standing,Gyr_Z_rms_standing,Gyr_Z_linear_drift_standing,Acc_X_linear_drift_standing,Acc_Y_linear_drift_standing,Acc_Z_linear_drift_standing,Quat_W_linear_drift_standing,Quat_X_linear_drift_standing,Quat_Y_linear_drift_standing,Quat_Z_linear_drift_standing,gyro_rms_magnitude_standing,acc_stability_mean_axis_std_standing,acc_stability_max_axis_std_standing,quat_stability_mean_component_std_standing,quat_stability_max_component_std_standing
SHANK_L_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_L_JOGGING.csv,DOT_Shank_L,JOGGING,2026-09-13_17:24:02_479 GMT+8,60Hz,60.0,3472,16667,0,,0,,0,,0.0,,20.486490974536533,14.537396345760465,249.7329512901754,147.46315872059728,1.000002886651238,3.0072138088795235e-07,3.7553869487449987e-06,13.024139756624425,8.069086009933958,-20.434677,62.48951,82.924187,25,29.85826976200004,-4.241652269585253,18.693468052951353,-88.114586,81.774864,157.10247800000002,176,46.98870253599999,-1.536086967453917,5.147515374753854,-27.003374,17.457399,37.643253,66,18.954825778000007,-0.47107133899769543,159.3013202389299,-1015.213623,637.720581,1526.191986,136,545.2008972299998,0.2930771402649767,100.53544079359597,-245.275513,223.046982,123.675724,0,182.96903064000006,1.9980942655529959,220.50701683034453,-490.136566,454.236725,271.438492,0,436.208803356,403,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/JOGGING/DOT_Shank_L/SHANK_L_JOGGING_raw_qc.png,,,,,,,,,,,,,,,,,,,,,
SHANK_L_SQUAT.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_L_SQUAT.csv,DOT_Shank_L,SQUAT,2026-09-13_17:37:05_231 GMT+8,60Hz,60.0,1130,16667,0,,0,,0,,0.0,,9.94756095470069,0.13707453264620076,20.37252175463716,17.99016733095489,0.9999976023629377,2.8947035905858105e-07,3.2259727035244268e-06,9.58384067522124,0.4774531852060563,8.290714,10.435113,0.8281549999999989,2,0.6500482739999858,-1.7253708752212389,1.9426532786071673,-5.511798,3.127596,2.130514,3,1.3971032680000002,0.17453663185840707,0.3369351407793978,-1.891281,1.551854,1.486696,1,1.3319344639999993,-2.0964939734513277,9.660378971671669,-38.071938,41.066956,29.296264,2,23.028946820000005,1.8851876212389382,4.54941950808416,-16.638168,16.703106,6.408075,0,6.4446390879999775,1.5987466725663715,24.782260050912143,-64.136856,54.119011,16.792766,3,11.667333653999966,11,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/SQUAT/DOT_Shank_L/SHANK_L_SQUAT_raw_qc.png,,,,,,,,,,,,,,,,,,,,,
SHANK_L_STANDING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_L_STANDING.csv,DOT_Shank_L,STANDING,2026-09-13_17:30:14_365 GMT+8,60Hz,60.0,998,16667,4,113;114;115;126,0,,2,112;122,0.0,,9.963055376160455,0.011477149292820411,3.027232576267258,0.22071071876012868,0.9999978386013275,5.14145921483817e-07,3.3323950524577484e-06,9.902353359719436,0.01172617037934345,9.845846,9.969386,0.1235400000000002,1,0.10159233400000425,-0.9735475611222446,0.021725361293023326,-1.053066,-0.905225,0.07092500000000002,0,0.123993698000001,-0.5068464038076153,0.026541805400577212,-0.590857,-0.427333,0.08099499999999993,0,0.13225778399999982,-1.9224120891783567,0.24255414559663846,-2.748922,-0.563313,0.9688000000000001,0,1.2849275080000002,1.8364351122244489,0.15260533275132857,1.245885,2.403758,0.2867080000000002,0,0.5247887600000001,1.4255435601202406,0.174335272474745,0.862412,2.067592,0.31808400000000014,0,0.5772683880000018,1,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/STANDING/DOT_Shank_L/SHANK_L_STANDING_raw_qc.png,-1.9224120891783567,1.937653414355934,0.026666354666951664,1.8364351122244489,1.842764854503951,0.043041588359156835,1.4255435601202406,1.4361640675873815,-0.012899035698593853,0.0011538013687442117,0.013312228248713698,0.06017734428899546,-0.16250856574217415,0.4559063930579969,0.1264177305845786,0.41767914043435084,3.0352677463758138,0.019997779024314665,0.026541805400577212,0.11992242717673719,0.18821930407594456
SHANK_R_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_R_JOGGING.csv,DOT_Shank_R,JOGGING,2026-09-13_17:38:21_420 GMT+8,60Hz,60.0,1457,16667,0,,0,,0,,0.0,,17.39452326878799,12.16546034605404,216.14231625372102,113.94525608888212,1.0000037032654991,2.9287392723804533e-07,4.519124788826545e-06,-10.562292544955387,9.450688551435281,-58.319889,12.518605,59.237259,12,31.429996453999994,-4.3777706568291,14.150007182186174,-77.55983,31.366457,87.811038,46,35.565898573000005,0.47782484557309546,5.4840160024938776,-12.442569,47.569145,57.62026,27,17.97523235199999,2.650090339052848,117.08217685427273,-340.61441,329.095886,365.199341,0,397.51819597299993,6.900646589567604,115.54700352643867,-206.562805,232.835938,275.232376,1,211.31159883699974,-2.5494089114619083,180.50078867377113,-347.44577,364.148804,313.720695,0,340.06396298700014,86,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/JOGGING/DOT_Shank_R/SHANK_R_JOGGING_raw_qc.png,,,,,,,,,,,,,,,,,,,,,
SHANK_R_SQUAT.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_R_SQUAT.csv,DOT_Shank_R,SQUAT,2026-09-13_17:37:05_233 GMT+8,60Hz,60.0,1132,16667,0,,0,,0,,0.0,,9.5532652230576,0.120971894775099,19.824798984448055,19.3895467305894,1.000003744448068,2.8928878893017094e-07,4.526308256203038e-06,-9.27079366254417,0.3624263979916726,-9.876548,-8.150504,0.8617410000000003,1,0.720650232000019,-0.7612515494699648,2.1048155499913315,-4.745202,3.448852,2.688716,5,1.3832217059999947,0.05449349734982332,0.4333827773086438,-1.250041,1.535195,1.001218,0,1.1257150859999996,1.3216727411660776,7.498096389525927,-30.248346,48.223598,34.058406,2,16.793433847999996,0.4467840106007066,5.302229601113966,-17.075485,16.535381,6.330438000000001,1,6.236161393999998,1.8528565026501773,26.062666344325724,-54.102535,68.890198,10.425461000000002,7,9.31025787399998,16,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/SQUAT/DOT_Shank_R/SHANK_R_SQUAT_raw_qc.png,,,,,,,,,,,,,,,,,,,,,
SHANK_R_STANDING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_R_STANDING.csv,DOT_Shank_R,STANDING,2026-09-13_17:30:14_368 GMT+8,60Hz,60.0,1002,16667,0,,0,,0,,0.0,,9.527550576077953,0.011448003070284561,2.3113389623422007,0.32266458042406754,1.000000086821443,2.8728397553054955e-07,8.761791161493448e-07,-9.500213259481038,0.01136260931176423,-9.586403,-9.455764,0.10558000000000156,1,0.10298124000002512,0.26182836327345316,0.03659884326403279,0.139874,0.388461,0.145622,0,0.15906790199999948,-0.6703944451097804,0.029114821159834433,-0.758392,-0.499282,0.12617299999999998,0,0.17819815200000144,1.2979070668662673,0.3150666658963535,-1.69825,2.65621,1.6100590000000001,1,1.5388998640000013,0.4108656596806387,0.2741966385812278,-1.704589,1.846682,0.771935,1,0.6404855739999991,1.818379525948104,0.3347715412331499,-0.875314,4.077778,0.967436,3,0.6074130899999987,6,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/STANDING/DOT_Shank_R/SHANK_R_STANDING_raw_qc.png,1.2979070668662673,1.3356008977911187,0.05198054332213031,0.4108656596806387,0.49395787969628635,0.03744101013725326,1.818379525948104,1.8489391783416969,0.008971358075475111,0.0014451894018474576,-0.0912844748628362,-0.026135655202059516,-0.011938822084643808,0.16714201079993551,-0.015118918836305228,-0.16219176831780108,2.3337523926718022,0.02569209124521048,0.03659884326403279,0.03401157524986199,0.0645637666128966
THIGH__L_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH__L_JOGGING.csv,DOT_Thigh_L,JOGGING,2026-09-13_17:24:02_471 GMT+8,60Hz,60.0,3470,16667,0,,0,,0,,0.0,,16.73189907812481,8.115210736902327,183.36136578254835,79.0029578635037,1.0000054245236054,2.966162232962544e-07,6.319913529395649e-06,-9.91816531354467,9.887841986615033,-52.71809,12.317965,51.98115799999999,88,29.960935288000055,-2.701631517579251,10.23355362976854,-30.501381,52.661617,67.667738,12,48.399018026,-2.593483878962536,5.560852303851982,-27.313332,26.019289,44.565377,59,23.509389951999992,-3.987843617291067,144.04807966973394,-652.825928,553.195312,991.439972,20,689.1437254219998,-2.910563165706052,45.908595338886876,-187.803986,201.086823,331.60231,16,226.48419901599996,0.9570374616714696,130.30778654760343,-304.165009,291.66214,183.427383,0,231.55301209200002,195,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/JOGGING/DOT_Thigh_L/THIGH__L_JOGGING_raw_qc.png,,,,,,,,,,,,,,,,,,,,,
THIGH__R_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH__R_JOGGING.csv,DOT_Thigh_R,JOGGING,2026-09-13_17:38:21_419 GMT+8,60Hz,60.0,1458,16667,0,,0,,0,,0.0,,16.365292972308424,8.94702053294703,187.65569056877976,73.92915420932623,1.0000029950335103,2.8646308398597155e-07,3.883927957470945e-06,11.038747650205762,11.150640234205342,-16.097679,69.341682,69.310828,47,30.74841222999998,1.7807795253772292,9.38595602873105,-22.622805,30.853128,39.431326,1,35.66091365199999,-1.1945223703703705,2.9978380850656983,-15.070942,12.82978,25.610037,9,14.044598234000002,-7.4197952345679,128.83025192317123,-343.963593,323.598145,305.565681,0,544.4023452539998,-4.024265076817558,49.35748914429458,-155.26416,134.506744,227.98483299999998,5,193.27760755399999,-1.630477338134431,146.87707776454926,-306.084839,342.54245,192.919025,0,323.7531815459999,62,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/JOGGING/DOT_Thigh_R/THIGH__R_JOGGING_raw_qc.png,,,,,,,,,,,,,,,,,,,,,
THIGH_L_SQUAT.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH_L_SQUAT.csv,DOT_Thigh_L,SQUAT,2026-09-13_17:37:05_224 GMT+8,60Hz,60.0,1132,16667,0,,0,,0,,0.0,,9.648893142380707,0.7209066135664628,44.36199963203489,38.89432617493642,0.999999698158725,2.8819483809640253e-07,1.1676026816509477e-06,-7.4281673392226155,2.76738385635571,-10.91255,-0.463845,2.1450440000000004,4,1.6102017360000178,-3.83958987720848,3.834989344057737,-11.664361,2.235994,4.124834,5,2.578865407999999,0.2794533330388692,1.1211930837767403,-3.437302,3.412133,5.085717,7,1.7188116740000003,0.757083363074205,17.13669087743097,-69.256447,103.285149,60.29682,2,51.048087776,-1.4141994249116605,14.464472736051345,-54.363865,50.395069,53.266526999999996,9,18.906909686,1.1791257190812723,54.53352181457701,-99.976791,118.766663,39.45771,4,23.231667942000016,31,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/SQUAT/DOT_Thigh_L/THIGH_L_SQUAT_raw_qc.png,,,,,,,,,,,,,,,,,,,,,
THIGH_L_STANDING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH_L_STANDING.csv,DOT_Thigh_L,STANDING,2026-09-13_17:30:14_358 GMT+8,60Hz,60.0,1003,16667,0,,0,,0,,0.0,,9.607672130097328,0.014189652140416674,2.230938686897992,0.6432286412849939,1.0000001222056567,2.8682526420765384e-07,8.577946319920926e-07,-9.503172826520437,0.01524245617631729,-9.567554,-9.44586,0.0880150000000004,0,0.12781639099999653,-0.1960655742771685,0.057895470412824605,-0.487471,0.017491,0.16293999999999997,1,0.16282951400000018,-1.3979998215353937,0.0290156262401268,-1.505678,-1.300418,0.08419299999999996,0,0.1354794399999989,0.9385706400797607,0.9534049603531111,-2.97092,6.808011,3.0872650000000004,2,2.641135474999999,-1.1432991635094716,0.25621406301682276,-3.245527,0.148041,0.985487,0,1.043169537,1.4488882522432704,0.35899701107978677,0.56793,3.306421,0.6553270000000002,0,0.9907685710000012,3,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/qc/raw_qc/STANDING/DOT_Thigh_L/THIGH_L_STANDING_raw_qc.png,0.9385706400797607,1.3378698983255617,-0.17552422881951812,-1.1432991635094716,1.171656358907784,-0.07742888283357185,1.4488882522432704,1.4927009149366723,-0.11131031798230828,-0.005694346124974103,-0.013857933367228847,0.04656039163386372,-0.43071274024539913,0.5947574549260581,-0.5034720022283752,-0.5030035234734045,2.321816209278304,0.0340511842764229,0.057895470412824605,0.2087895004191454,0.2452922101581103
