SampleTimeFine,PacketCounter_thigh,PacketCounter_shank,time_observed_60hz_s,thigh_orientation_change_deg,shank_orientation_change_deg,knee_flexion_estimate_deg,relative_rotvec_x_deg,relative_rotvec_y_deg,relative_rotvec_z_deg
2278529916,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278546583,3,2,0.016666666666666666,0.014147731805400783,0.007208291925392235,-0.0074112492131689685,-0.00873360590044269,-0.006932623535794967,0.008336394021220429
2278563250,4,3,0.03333333333333333,0.029353783954551346,0.012356264224905714,-0.018622814692395784,-0.021554112014638548,-0.015213990059436291,0.01827984576832243
2278579917,5,4,0.05,0.05049185113358923,0.01701059968460969,-0.03513122679098891,-0.03977856658314207,-0.023035301928641328,0.028386028343726232
2278596584,6,5,0.06666666666666667,0.06913990920867678,0.021744365381153184,-0.04927397594166256,-0.05574007337824713,-0.02920639207922598,0.03911285880921278
2278613251,7,6,0.08333333333333333,0.07852974896288345,0.027346123177178536,-0.04907271901977895,-0.057325530949737025,-0.032822109321412565,0.0505107593160289
2278629918,8,7,0.1,0.0768655709315428,0.0340759711639733,-0.03158036033678636,-0.04148250749531852,-0.0390075533334554,0.06280794356034582
2278646585,9,8,0.11666666666666667,0.07091012108943573,0.03444801456051998,-0.016407364691136277,-0.027789444882305798,-0.044932370125690735,0.07384511144434512
2278663252,10,9,0.13333333333333333,0.06943364108550946,0.03989224330251344,-9.317466571698496e-05,-0.012960742952213602,-0.049310394920936404,0.08482006387151597
2278679919,11,10,0.15,0.0723209789398758,0.04829886656947317,0.014330959449881732,0.0003142882569117174,-0.05157239061187742,0.093320073208422
2278696586,12,11,0.16666666666666666,0.08042384312827425,0.05183297519989494,0.011828055031607337,-0.003605520796745224,-0.056498083586422325,0.10239268638186151
2278713253,13,12,0.18333333333333332,0.09584170005947032,0.05455745726523411,0.001023062371379944,-0.01606998510579636,-0.06056323697004921,0.1121604513246428
2278729920,14,13,0.2,0.11811721108814754,0.06121225781340606,-0.01421211333897497,-0.03325816259532317,-0.06849754254677351,0.123835855498982
2278746587,15,14,0.21666666666666667,0.14016802799920466,0.0720822014572986,-0.0245468655257455,-0.04507691594528322,-0.07435182995981772,0.13278829201141534
2278763254,16,15,0.23333333333333334,0.1569276126095106,0.08137193173980617,-0.030954952104842674,-0.053014598768734884,-0.07927739110317465,0.14222903499747272
2278779921,17,16,0.25,0.17635600376203525,0.08709448708606274,-0.04040288483066089,-0.06393760552731134,-0.08635503487730248,0.15135031075009744
2278796588,18,17,0.26666666666666666,0.19617701082133795,0.08785862819617919,-0.05660438404726809,-0.08108249334947766,-0.09337121336432593,0.15665325812847594
2278813255,19,18,0.2833333333333333,0.2086167749464986,0.0928709206548975,-0.05480121016812892,-0.08063175661695733,-0.09722281206061216,0.16555384611830218
2278829922,20,19,0.3,0.21081761496929421,0.09813719350304326,-0.039842910140746764,-0.06686911713401951,-0.10323189456347338,0.17484362779653137
2278846589,21,20,0.31666666666666665,0.2074264403795802,0.09420948014708246,-0.029898700968705123,-0.057723842023216315,-0.10505248393828166,0.18077694017723442
2278863256,22,21,0.3333333333333333,0.20324778318706208,0.10044966136999904,-0.007578604456187433,-0.03607632137789889,-0.10453397696010022,0.18666850021736378
