SampleTimeFine,PacketCounter_thigh,PacketCounter_shank,time_observed_60hz_s,thigh_orientation_change_deg,shank_orientation_change_deg,knee_flexion_estimate_deg,relative_rotvec_x_deg,relative_rotvec_y_deg,relative_rotvec_z_deg
2278529916,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278546583,3,2,0.016666666666666666,0.03531960137211884,0.007069443353370347,0.03900702795098197,0.037819678080084664,0.008064986761744329,-0.014419041102035422
2278563250,4,3,0.03333333333333333,0.06864162066321103,0.00817114763278565,0.07002904917013947,0.06785664321294077,0.014008978307843907,-0.0312937075912673
2278579917,5,4,0.05,0.08966448881989991,0.012933095199733815,0.09176473669729929,0.08729678458511705,0.02584209954839269,-0.046124191016639296
2278596584,6,5,0.06666666666666667,0.10709291024807621,0.020872030561479273,0.11286252350831046,0.1070668083736218,0.032755090103125085,-0.061012324017236184
2278613251,7,6,0.08333333333333333,0.12340974955393869,0.023246426965770256,0.12608932757081548,0.11942185318357598,0.03662936152412536,-0.07561338046374169
2278629918,8,7,0.1,0.15065762683435724,0.024871915924459836,0.15145404201869794,0.14330376980716775,0.044902279964399196,-0.08925848799086841
2278646585,9,8,0.11666666666666667,0.18117741905013776,0.027095030191233913,0.18012516332441722,0.1708864979278902,0.05146210107129068,-0.10345498265251404
2278663252,10,9,0.13333333333333333,0.20856722532970656,0.031827096205200786,0.20650082588926394,0.19605102288447301,0.05830929306877025,-0.11843171557182586
2278679919,11,10,0.15,0.2369179403291145,0.03257511279769102,0.2282349607966789,0.21765263080720873,0.05928158825680432,-0.13344810100559987
2278696586,12,11,0.16666666666666666,0.26770978706140547,0.03841146318166305,0.25775202058729485,0.24669715752771754,0.06237699478284437,-0.15136251866659395
2278713253,13,12,0.18333333333333332,0.29364810224732746,0.045327581701687755,0.2820185836438177,0.27061764300779995,0.06441461108778558,-0.16845388572115738
2278729920,14,13,0.2,0.31895519541579503,0.0514651399267601,0.3016562955142973,0.29027543873037015,0.06434476503948461,-0.18400877897319617
2278746587,15,14,0.21666666666666667,0.3553124086454175,0.06005105683805369,0.3377888203973205,0.3257655205043871,0.06932457966014065,-0.1989616539825882
2278763254,16,15,0.23333333333333334,0.42036710547277073,0.07006306568419811,0.4072900082526708,0.3935322849829324,0.08280607790643002,-0.21646265120028427
2278779921,17,16,0.25,0.5570581729319878,0.08470140541674007,0.5582509485975118,0.5412726253234096,0.11209787474422724,-0.2324373652007972
2278796588,18,17,0.26666666666666666,0.7111894663106927,0.1045718830691654,0.7214281853468553,0.6981040980931843,0.15830945331248736,-0.2481248229287889
2278813255,19,18,0.2833333333333333,0.8108972386292236,0.1256562303543427,0.8167343691807597,0.7839943207868059,0.2126170494257743,-0.26763384286026337
2278829922,20,19,0.3,0.8161462801729487,0.14947227161821963,0.779100344936041,0.7325549459539652,0.2737750473804152,-0.30159941205308266
2278846589,21,20,0.31666666666666665,0.8165259729746346,0.17919872948912152,0.6973353463876754,0.6344967196567081,0.341159173850726,-0.3500871339004752
2278863256,22,21,0.3333333333333333,0.8913641683007123,0.20860889571370342,0.6997071491894465,0.6243666322894511,0.398783488943742,-0.39220906351454593
2278879923,23,22,0.35,0.9688795030936119,0.24033402503255427,0.6753142307347355,0.5846889264188644,0.4679004448035018,-0.43244703226107195
2278896590,24,23,0.36666666666666664,1.0371047765206771,0.2789132572068963,0.5879318079428395,0.476326102242927,0.5600528656133501,-0.46611858557227226
2278913257,25,24,0.38333333333333336,1.130349880902519,0.32662048272894423,0.5346945848605875,0.4058555617749831,0.6374936850945166,-0.49468609695146004
2278929924,26,25,0.4,1.2293343832321082,0.38158892019286195,0.4569758592003377,0.3131915106404667,0.7003473380901515,-0.5286027959315485
2278946591,27,26,0.4166666666666667,1.2987911922778765,0.4418088045796682,0.3981502570000349,0.25197574213012963,0.7014895684905225,-0.5681441971151324
2278963258,28,27,0.43333333333333335,1.391068105479469,0.5018100159820504,0.35743322838208735,0.2039728395456145,0.7299293786741233,-0.6000565115679182
2278979925,29,28,0.45,1.4934546226307615,0.552181569221631,0.3139325797628718,0.14860160243471648,0.7819602917998653,-0.6247564279523585
2278996592,30,29,0.4666666666666667,1.5836897818280147,0.5843034789994289,0.2784028808149032,0.10050108379898272,0.839319865625594,-0.6412730402273881
2279013259,31,30,0.48333333333333334,1.6409803559205656,0.5971442864058728,0.2551938104266529,0.06610487491029961,0.8935470162113002,-0.6372276842173363
2279029926,32,31,0.5,1.670076342690605,0.5943276546619104,0.15309127015771395,-0.04360029499286474,0.9228816528333371,-0.6252965877475071
2279046593,33,32,0.5166666666666667,1.6834844256374537,0.5853531875518799,0.08513936269093943,-0.11680689089776973,0.9440938079344665,-0.6116425915983127
2279063260,34,33,0.5333333333333333,1.705716687025554,0.5779036903861198,0.08292934983989399,-0.1288377699513542,0.9949120521556579,-0.5969351698243401
2279079927,35,34,0.55,1.7132436739448267,0.5806980923869778,0.12626542906174743,-0.09342575701582684,1.0403695645535962,-0.5856536764860056
2279096594,36,35,0.5666666666666667,1.7145057537890045,0.5892826258207464,0.12021881689139859,-0.1036081305861462,1.0617849010322709,-0.5752250705532062
