time_s,SampleTimeFine,knee_flexion_estimate_deg,knee_flexion_estimate_smooth_deg,relative_rotvec_x_deg,relative_rotvec_y_deg,relative_rotvec_z_deg,dominant_axis_x,dominant_axis_y,dominant_axis_z,is_peak
0.0,1726454038,-1.7771088111261708,-1.7718043752379107,-2.2945091429718465,-1.5152596180768858,-0.10590087689815945,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.016667,1726470705,-1.713310195839985,-1.721924098387047,-2.193698482354613,-1.4021429051659058,-0.1354684845967445,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.033334,1726487372,-1.6570473577336897,-1.671419542914142,-2.096849739486716,-1.2777461799490164,-0.1607416105714913,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.050001,1726504039,-1.6099877597935288,-1.6204499316791015,-2.0144029603205804,-1.1717969902988195,-0.17223115116539592,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.066668,1726520706,-1.5646288340140404,-1.5691744875418299,-1.9343220736399305,-1.0784892815332803,-0.14354569435726383,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.083335,1726537373,-1.5197072952073811,-1.5177524333622325,-1.8554021893431285,-0.9877433867412454,-0.11348557041160964,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.100002,1726554040,-1.4752171468611286,-1.466342992000214,-1.7727229988158237,-0.8796885280254764,-0.09871281217278877,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.116669,1726570707,-1.4226668301475474,-1.4151053863156797,-1.6838785860823997,-0.7806708325585093,-0.07740954223673009,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.133336,1726587374,-1.3685590683222844,-1.3641988391685347,-1.6118586294072716,-0.7376226815044117,-0.06276561195611921,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.150003,1726604041,-1.3379132960128175,-1.3137825734186834,-1.5511988060466162,-0.6409801495096695,-0.09189560338228236,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.16667,1726620708,-1.300083531318895,-1.2640158119260314,-1.485175123663667,-0.5559017270584198,-0.10372437992529585,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.183337,1726637375,-1.240915957336354,-1.2150577775504834,-1.3971159213863698,-0.47483224994659357,-0.10581701091138536,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.200004,1726654042,-1.1808776534936973,-1.1670676931519446,-1.3069024516029393,-0.39327323377859674,-0.09538586002581818,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.216671,1726670709,-1.1218911263152043,-1.1202047815903198,-1.225305122157469,-0.3329955252547172,-0.09313397007010274,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
0.233338,1726687376,-1.0656281297750292,-1.0746282657255137,-1.157679338509817,-0.30734113794756324,-0.09129237583243646,0.9493211964513713,-0.30344711537723235,-0.08190918225311289,False
