angle_label,side,knee_angle_min_deg,knee_angle_max_deg,knee_angle_range_deg,squat_cycle_count,peak_times_s,left_right_corr,left_right_peak_lag_samples,axis_note
IMU-derived relative knee flexion estimate,L,-2.547580210380384,59.99040494261059,62.53798515299097,5,5.767;8.350;11.150;13.850;16.700,0.9933176761605196,0.0,Flexion axis is data-derived and not anatomically calibrated.
IMU-derived relative knee flexion estimate,R,-2.7270259870338007,51.80241413342205,54.52944012045585,5,5.767;8.333;11.167;14.000;16.750,0.9933176761605196,0.0,Flexion axis is data-derived and not anatomically calibrated.
