participant_id,activity,sensor,source_file,curated_file,row_count,output_rate,start_time,first_sample_time,last_sample_time,packet_integrity,synchronization_status,inclusion_status,exclusion_reason,notes
P03,squat,shank_r,PrePilot_Test/SQUAT/Shank_right/DOT_Shank_R_P03.csv,,0,60Hz,2026-09-15_18:33:20_904 GMT+8,,,NO_DATA_ROWS,,EXCLUDED_EMPTY,Source export has metadata/header but 0 data rows,
P03,high_knee_hops,pelvis,PrePilot_Test/HIGH KNEE HOPS/PELVIS/ DOT_Pelvis_P03.csv,data/raw/xsens_imu/pre_pilot/high_knee_hops/P03/pelvis.csv,494,60Hz,2026-09-15_18:34:21_027 GMT+8,2507893341,2516110172,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster | Other source exports: PrePilot_Test/HIGH KNEE HOPS/PELVIS/ DOT_Pelvis_P03(1).csv rows=684 start=2026-09-15_17:58:36_144 GMT+8 | Excluded duplicate pelvis export at 17:58 as ambiguous possible misnamed P01 session
P03,high_knee_hops,thigh_l,PrePilot_Test/HIGH KNEE HOPS/LEFT KNEE/DOT_Thigh_L_P03.csv,,0,60Hz,2026-09-15_18:34:21_038 GMT+8,,,NO_DATA_ROWS,,EXCLUDED_EMPTY,Source export has metadata/header but 0 data rows,Other source exports: PrePilot_Test/HIGH KNEE HOPS/RIGHT KNEE/DOT_Thigh_L_P03.csv rows=0 start=2026-09-15_18:34:21_038 GMT+8
P03,high_knee_hops,thigh_r,,,,,,,,NOT_ASSESSED,,MISSING,No source export found,
P03,high_knee_hops,shank_l,PrePilot_Test/HIGH KNEE HOPS/LEFT SHANK/DOT_Shank_L_P03.csv,,0,60Hz,2026-09-15_18:34:21_041 GMT+8,,,NO_DATA_ROWS,,EXCLUDED_EMPTY,Source export has metadata/header but 0 data rows,
P03,high_knee_hops,shank_r,PrePilot_Test/HIGH KNEE HOPS/RIGHT SHANK/DOT_Shank_R_P03.csv,,0,60Hz,2026-09-15_18:34:21_040 GMT+8,,,NO_DATA_ROWS,,EXCLUDED_EMPTY,Source export has metadata/header but 0 data rows,
P03,jogging,pelvis,,,,,,,,NOT_ASSESSED,,MISSING,No source export found,
P03,jogging,thigh_l,,,,,,,,NOT_ASSESSED,,MISSING,No source export found,
P03,jogging,thigh_r,,,,,,,,NOT_ASSESSED,,MISSING,No source export found,
P03,jogging,shank_l,,,,,,,,NOT_ASSESSED,,MISSING,No source export found,
P03,jogging,shank_r,,,,,,,,NOT_ASSESSED,,MISSING,No source export found,
