filename,activity,device_tag,channel,f90_hz,f95_hz,f98_hz,power_fraction_gt_6hz,power_fraction_gt_8hz,power_fraction_gt_10hz
SHANK_R_STANDING.csv,STANDING,DOT_Shank_R,Gyr_X,15.8203125,18.6328125,25.3125,0.6288352992112366,0.5344371182376783,0.41244780791790436
SHANK_R_STANDING.csv,STANDING,DOT_Shank_R,Gyr_Y,7.96875,12.7734375,21.4453125,0.1461071275443532,0.0966610406433422,0.07188808611142897
SHANK_R_STANDING.csv,STANDING,DOT_Shank_R,Gyr_Z,8.671875,12.421875,20.5078125,0.1829283339402247,0.10708869825105624,0.06661315793751042
THIGH__L_JOGGING.csv,JOGGING,DOT_Thigh_L,Acc_X,23.5546875,26.484375,28.7109375,0.30804838388308436,0.29376237470474315,0.27395428416469936
THIGH__L_JOGGING.csv,JOGGING,DOT_Thigh_L,Acc_Y,20.9765625,24.84375,27.890625,0.5627400579333925,0.47311716671487003,0.3304254313643921
THIGH__L_JOGGING.csv,JOGGING,DOT_Thigh_L,Acc_Z,23.5546875,26.25,28.2421875,0.8190415116857904,0.6844052711639191,0.5847259931161298
THIGH__L_JOGGING.csv,JOGGING,DOT_Thigh_L,Gyr_X,22.96875,25.1953125,28.2421875,0.4949934982023587,0.4122873963042333,0.34126133976302425
THIGH__L_JOGGING.csv,JOGGING,DOT_Thigh_L,Gyr_Y,26.3671875,28.359375,29.1796875,0.5230196479843452,0.4441196790997612,0.41950955864216066
THIGH__L_JOGGING.csv,JOGGING,DOT_Thigh_L,Gyr_Z,4.1015625,4.3359375,10.1953125,0.02874412715819118,0.02528933403695058,0.02003551292711796
THIGH__R_JOGGING.csv,JOGGING,DOT_Thigh_R,Acc_X,19.8046875,25.1953125,28.125,0.39095974681793844,0.36946145257239704,0.31211696303761255
THIGH__R_JOGGING.csv,JOGGING,DOT_Thigh_R,Acc_Y,12.1875,15.1171875,21.4453125,0.24003076497583148,0.19176321811387276,0.15165444102424516
THIGH__R_JOGGING.csv,JOGGING,DOT_Thigh_R,Acc_Z,21.796875,24.7265625,27.5390625,0.7792041441090525,0.601488776547917,0.40176183609289307
THIGH__R_JOGGING.csv,JOGGING,DOT_Thigh_R,Gyr_X,8.90625,14.0625,20.859375,0.1799806984714211,0.10910429845522164,0.09009005061015947
THIGH__R_JOGGING.csv,JOGGING,DOT_Thigh_R,Gyr_Y,16.9921875,22.6171875,26.953125,0.219940818711542,0.1808216385811511,0.16471273324476066
THIGH__R_JOGGING.csv,JOGGING,DOT_Thigh_R,Gyr_Z,4.3359375,6.796875,12.421875,0.05186060466672072,0.04295647024171344,0.030656793519374677
THIGH_L_SQUAT.csv,SQUAT,DOT_Thigh_L,Acc_X,0.703125,0.9375,2.4609375,0.009674196741817614,0.007269678699533873,0.005539320228150326
THIGH_L_SQUAT.csv,SQUAT,DOT_Thigh_L,Acc_Y,0.5859375,0.703125,4.5703125,0.015527509394352906,0.00556496127259112,0.002649569936725152
THIGH_L_SQUAT.csv,SQUAT,DOT_Thigh_L,Acc_Z,1.875,7.3828125,18.046875,0.058935613603517685,0.04775923064241505,0.0423573082073812
THIGH_L_SQUAT.csv,SQUAT,DOT_Thigh_L,Gyr_X,7.96875,11.3671875,17.8125,0.2051155476968043,0.09264139428152039,0.0637140670599009
THIGH_L_SQUAT.csv,SQUAT,DOT_Thigh_L,Gyr_Y,1.9921875,4.453125,12.1875,0.04087818657342365,0.03494599727174857,0.02856175970288502
THIGH_L_SQUAT.csv,SQUAT,DOT_Thigh_L,Gyr_Z,0.703125,0.8203125,1.171875,0.0015558448011901273,0.0009194255254136129,0.0003570170637611129
THIGH_L_STANDING.csv,STANDING,DOT_Thigh_L,Acc_X,25.1953125,26.953125,28.359375,0.837049370204887,0.7067767442216427,0.6194664952906466
THIGH_L_STANDING.csv,STANDING,DOT_Thigh_L,Acc_Y,8.203125,9.375,12.421875,0.1941178046686755,0.10175025049778458,0.030721793492686566
THIGH_L_STANDING.csv,STANDING,DOT_Thigh_L,Acc_Z,18.28125,23.7890625,27.7734375,0.5909847751823996,0.45972473338724396,0.2263151593102007
THIGH_L_STANDING.csv,STANDING,DOT_Thigh_L,Gyr_X,7.96875,9.2578125,11.3671875,0.1472532856215624,0.0927142432111603,0.03603944056836253
THIGH_L_STANDING.csv,STANDING,DOT_Thigh_L,Gyr_Y,14.296875,20.0390625,25.546875,0.5462630069168709,0.4511299488412967,0.21668157668570193
THIGH_L_STANDING.csv,STANDING,DOT_Thigh_L,Gyr_Z,9.140625,9.609375,11.6015625,0.18160509354868995,0.13286829567953748,0.034145633452312356
THIGH_R_SQUAT.csv,SQUAT,DOT_Thigh_R,Acc_X,1.40625,3.6328125,9.4921875,0.03477618773620444,0.023879496096550254,0.0182099281844626
THIGH_R_SQUAT.csv,SQUAT,DOT_Thigh_R,Acc_Y,0.5859375,0.703125,1.9921875,0.012159695127555187,0.007165629681236059,0.0033415904393070714
THIGH_R_SQUAT.csv,SQUAT,DOT_Thigh_R,Acc_Z,17.6953125,23.7890625,27.7734375,0.2727357417474352,0.2508164296142505,0.2372084025012537
THIGH_R_SQUAT.csv,SQUAT,DOT_Thigh_R,Gyr_X,13.125,16.640625,22.3828125,0.3059536998855983,0.24719515786498758,0.1995978099314682
THIGH_R_SQUAT.csv,SQUAT,DOT_Thigh_R,Gyr_Y,13.4765625,16.7578125,22.6171875,0.2874440528085038,0.259976922768819,0.22380584868435682
THIGH_R_SQUAT.csv,SQUAT,DOT_Thigh_R,Gyr_Z,0.8203125,0.9375,1.171875,0.0019010421926888281,0.001191150972081841,0.000600462169815305
THIGH_R_STANDING.csv,STANDING,DOT_Thigh_R,Acc_X,27.5390625,28.359375,29.0625,0.7754033767958862,0.7075188251453155,0.6307086818719122
THIGH_R_STANDING.csv,STANDING,DOT_Thigh_R,Acc_Y,10.546875,13.2421875,22.1484375,0.4232173142652327,0.17823214967829468,0.1163500219345697
THIGH_R_STANDING.csv,STANDING,DOT_Thigh_R,Acc_Z,21.5625,24.7265625,27.5390625,0.5671267655672673,0.5219967438149259,0.42382096196427993
THIGH_R_STANDING.csv,STANDING,DOT_Thigh_R,Gyr_X,12.421875,17.109375,22.3828125,0.4021972842100275,0.22633147219086885,0.15965831333357092
THIGH_R_STANDING.csv,STANDING,DOT_Thigh_R,Gyr_Y,19.8046875,24.609375,27.3046875,0.6919022114886961,0.596914449552066,0.5057527312906186
THIGH_R_STANDING.csv,STANDING,DOT_Thigh_R,Gyr_Z,9.4921875,13.125,17.6953125,0.24590535929872914,0.13764504029890914,0.093215425119309
