time_s,SampleTimeFine,knee_flexion_estimate_deg,knee_flexion_estimate_smooth_deg,relative_rotvec_x_deg,relative_rotvec_y_deg,relative_rotvec_z_deg,dominant_axis_x,dominant_axis_y,dominant_axis_z,is_peak
0.0,1726437371,-0.5689880264188782,-0.5506766659190069,-0.5575475629177175,-0.42082462629770684,0.058091084608863766,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.016667,1726454038,-0.5506251067966085,-0.5281580873733797,-0.5452654353344941,-0.3457227962517411,0.058069559816864486,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.033334,1726470705,-0.5130320501997221,-0.5049559824801547,-0.5114921117046135,-0.30912150379519665,0.06961940302538015,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.050001,1726487372,-0.47362710420991155,-0.4810769759322679,-0.4754688702582245,-0.27848813487023066,0.08192724582434582,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.066668,1726504039,-0.4420550774854668,-0.456527692422655,-0.448924468206487,-0.22295733006720003,0.08910457507796421,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.083335,1726520706,-0.4141149981104593,-0.43131475664425184,-0.42734276520867126,-0.151954163306218,0.0964970474793445,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.100002,1726537373,-0.3863144172886558,-0.4054447932899943,-0.40342952839277735,-0.09819620332030728,0.09271236510956242,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.116669,1726554040,-0.3582258744844208,-0.3789244270528182,-0.3770507275156965,-0.07008396401069569,0.08839616694172468,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.133336,1726570707,-0.32713869406104584,-0.3517602826256594,-0.34539119481770086,-0.0737038475184697,0.08806195209738849,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.150003,1726587374,-0.2999600427752736,-0.3239589847014537,-0.3176646177315323,-0.06341530665313364,0.0753058370769921,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.16667,1726604041,-0.2785578397861517,-0.29552715797313694,-0.2972282266135737,-0.043024509346961476,0.06931993156827042,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
0.183337,1726620708,-0.2661499395011771,-0.266471427133645,-0.2883343267378726,0.010546033925412217,0.060419705901800076,0.9923034002784751,0.08225252462132057,0.09256610604965325,False
