participant,sensor,acc_x_std,acc_y_std,acc_z_std,acc_mag_std,gyr_x_std,gyr_y_std,gyr_z_std,gyr_mag_std,acc_peak_to_peak,gyr_peak_to_peak,acc_drift,gyr_drift,status,_spike_score,_variation_score,_drift_ratio
P01,pelvis,0.117261383729894,0.13852516134755335,0.1072070304651683,0.11605558415359388,4.634806853561896,1.7757376849853037,1.5949528624936604,4.233758322441398,1.605274419587575,25.91979058368214,-0.006258605454251054,-7.768412772496713,POSSIBLE_MOVEMENT,0.47165890124919063,7.574245158317345,0.30360848039005534
P01,shank_l,0.15975377852938072,0.05676959216657362,0.16346736241160595,0.04740504605771203,2.1150421970662876,5.642875620138354,2.924872533919077,5.383748485417955,0.7335060730758673,40.49440001417374,-0.007089660857376501,-9.178868304553252,MINOR_VARIATION,0.6702749270055144,3.999984205745922,0.2363355081390595
P01,shank_r,0.1989844580759008,0.043718012563705236,0.14336437679290756,0.03582145489340925,1.4474165218558068,4.772578537653543,2.6584667822075976,4.2087739928077275,0.5123946579441174,26.378069666121807,-0.0016971548152895366,-8.680382417186834,STABLE,0.6991041290646186,1.6519537900359933,0.3323879280703123
P01,thigh_l,0.12443551603270508,0.3838635509068365,0.20828406401512176,0.0722254405612248,7.349268723705056,3.6077805259127516,3.6303421640256692,7.7801026097209105,0.9994090980272237,54.788868066015375,-0.020736312026418346,-14.56433778810411,POSSIBLE_MOVEMENT,0.3402134571951555,7.452072664550871,0.28657515911627757
P01,thigh_r,0.06764146249319104,0.19659554816698113,0.14124289752234098,0.05946148402415985,4.31385146744314,1.695658038554987,1.9195233885844891,3.7653060469351796,0.858412589572076,26.093821421687785,-0.010543752973172005,-6.912458190765807,MINOR_VARIATION,0.5530631123711544,3.2778510668145597,0.2771907021668777
P02,pelvis,0.034583464979145696,0.04546656522028569,0.10052542726661645,0.03423249339430742,1.3998020603644012,1.220375231562407,0.2742470083972945,1.0654733256650453,0.20748976016601972,6.737845894061275,0.00040730106319308845,-2.0196294343741443,STABLE,0.5074658594634511,0.0,0.3017070758877699
P02,shank_r,0.04629600264254765,0.017125008213684616,0.04566284186351375,0.015308718445400701,0.4025751898552395,0.5802888215514096,0.5492276176969405,0.49896842319295975,0.10409104149866266,3.05641686811881,0.0011180844489171449,-0.08494343124225434,STABLE,0.6457405758385175,0.0,0.0385332433198812
P02,thigh_l,0.02516685148518119,0.07548960147697337,0.07045616402349984,0.01958005664177797,1.3822795048593208,0.5838162440479381,0.7596917625811921,1.155889602948262,0.12135600884264441,8.99883942863516,0.007833031819727054,-1.603587277080272,STABLE,0.4293234525963076,0.0,0.24274523517878274
P03,shank_l,0.031386890080715525,0.014010168211406653,0.04736308972610989,0.01498351167186962,0.4646995091030096,0.2966877518898798,0.39450357406294545,0.4512310275269791,0.1008920532252624,2.5560917949315183,0.0011626396729376154,-0.6504285015949463,STABLE,0.6200912357713052,0.0,0.2659857062112353
P03,thigh_r,0.02694833640472639,0.10339222099241656,0.057834231036101684,0.02507039349090021,1.4800765155155484,0.666405571497307,0.984371820643205,0.9869525684030648,0.16511606055978412,6.399417521257464,-0.0004467671696861686,-1.2836014653037866,STABLE,0.7725362954093524,0.0,0.20328676087139175
