time_s,SampleTimeFine,knee_flexion_estimate_deg,knee_flexion_estimate_smooth_deg,relative_rotvec_x_deg,relative_rotvec_y_deg,relative_rotvec_z_deg,dominant_axis_x,dominant_axis_y,dominant_axis_z,is_peak
0.0,1790455318,6.077506902577434,6.134423740331849,-9.121781974999372,0.016876402424634993,-0.7705662845092099,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.016667,1790471985,6.6968044967601825,6.6457450274114604,-9.642764458240157,0.14886422640446745,-0.41871919785165124,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.033334,1790488652,7.341221611973618,7.243574633509599,-10.204615979134392,0.3524172968381663,-0.07202000298503858,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.050001,1790505319,8.018138480358923,7.919751022273961,-10.802166670487862,0.5334080771233234,0.28232404531992944,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.066668,1790521986,8.732039429633446,8.666112657352238,-11.444535357101163,0.7640443276275475,0.6440057338653902,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.083335,1790538653,9.485409790673394,9.474498002392124,-12.110024234295208,0.9951631719989117,1.0392006989625853,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.100002,1790555320,10.295577640748697,10.336745521041315,-12.826224059446755,1.3231229993458915,1.4671608266187597,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.116669,1790571987,11.159120576819804,11.244693676947506,-13.59257842834921,1.7605185419464222,1.9239060438838504,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.133336,1790588654,12.05047637512226,12.190180933758388,-14.422979173438819,2.301629118706886,2.354718683496316,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.150003,1790605321,12.99838823322956,13.165045755121653,-15.339958929358799,2.856518157288074,2.7734654426801177,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.16667,1790621988,13.995659714836489,14.161126604685,-16.343524483222534,3.3289399062443326,3.1649045965422,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.183337,1790638655,15.036824094920561,15.17026194609612,-17.39306396231702,3.55692756246893,3.5595588637197646,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.200004,1790655322,16.04666416126899,16.184290243002707,-18.452275056352814,3.570262837137904,3.8861396041022394,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.216671,1790671989,17.370628854618207,17.19504995905246,-19.56921374020736,2.9183345814271355,4.592611237546527,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.233338,1790688656,18.38355743400397,18.194379557893065,-20.29915099491938,2.583696922065294,5.281968670474926,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.250005,1790705323,19.19658859577785,19.174117503171786,-21.018917287597297,3.1264524845780755,5.7199039702510435,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.266672,1790721990,20.085658160922787,20.095233258642963,-21.676376322369745,3.7405417123108733,6.346876701193715,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.283339,1790738657,21.018508572258696,20.995688886926406,-22.19251550888832,4.249144370341278,7.195784265228783,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.300006,1790755324,22.060924013697576,21.874496968388215,-22.567862385118897,4.181340845212168,8.344349277758335,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.316673,1790771991,22.990837221645883,22.72624544125136,-22.740334121622087,3.89973409089953,9.543302554414762,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.33334,1790788658,23.738244845241777,23.536904167679396,-22.632721551233534,3.6904608768043996,10.787250451852312,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.350007,1790805325,24.41978153788888,24.294271870221497,-22.290247165391047,3.6497761137747564,12.205727714178176,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.366674,1790821992,25.00385785052169,24.985678646140386,-21.77200910132929,3.639590558718229,13.677603256757353,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.383341,1790838659,25.383590102112297,25.59551148889907,-20.975741751058187,3.5058199330270328,15.150248707037127,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.400008,1790855326,25.602300215221046,26.102904374232818,-19.921280282511315,3.2281906204680606,16.665801092302505,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.416675,1790871993,25.718342906114227,26.484352940840644,-18.667270165181463,2.7351532801934013,18.242778309921285,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.433342,1790888660,25.872750825849746,26.714614122467555,-17.383435082007875,2.2730251479386845,19.913074998366653,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.450009,1790905327,26.070697727958542,26.772702341741077,-16.158499831007965,1.8713746633809518,21.585132972601905,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,True
0.466676,1790921994,26.22430326060635,26.63842458888169,-14.994482509588853,1.527545538182601,23.12353179851189,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
0.483343,1790938661,26.427594767698682,26.32004287770276,-14.297638679427791,1.7282373878533017,24.231349360515484,-0.7500520231042377,-0.029806871229808962,0.6607068283775565,False
